Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,136.610001,137.199997,135.699997,136.039993,135.209351,18869300
2019-09-04,137.300003,137.690002,136.479996,137.630005,136.789658,17995900
2019-09-05,139.110001,140.380005,138.759995,140.050003,139.194870,26101800
2019-09-06,140.029999,140.179993,138.199997,139.100006,138.250671,20824500
2019-09-09,139.589996,139.750000,136.460007,137.520004,136.680328,25773900
2019-09-10,136.800003,136.889999,134.509995,136.080002,135.249115,28903400
2019-09-11,135.910004,136.270004,135.089996,136.119995,135.288849,24726100
2019-09-12,137.850006,138.419998,136.869995,137.520004,136.680328,27010000
2019-09-13,137.779999,138.059998,136.570007,137.320007,136.481537,23363100
2019-09-16,135.830002,136.699997,135.660004,136.330002,135.497589,16731400
2019-09-17,136.960007,137.520004,136.429993,137.389999,136.551117,17814200
2019-09-18,137.360001,138.669998,136.529999,138.520004,137.674210,23982100
2019-09-19,140.300003,142.369995,140.070007,141.070007,140.208649,35772100
2019-09-20,141.009995,141.649994,138.250000,139.440002,138.588593,39167300
2019-09-23,139.229996,139.630005,138.440002,139.139999,138.290421,17139300
2019-09-24,140.360001,140.690002,136.880005,137.380005,136.541183,29773200
2019-09-25,137.500000,139.960007,136.029999,139.360001,138.509079,21382000
2019-09-26,139.440002,140.179993,138.440002,139.539993,138.687973,17456600
2019-09-27,140.149994,140.360001,136.649994,137.729996,136.889023,22477700
2019-09-30,138.050003,139.220001,137.779999,139.029999,138.181091,17280900
